ASSIGN_NUM,PROJ_NUMBER,EMP_NUM ,DATE_ASSIGNED,DATE_ENDED,HOURS_USED
22,100,2,17-Nov-13,17-Dec-13,160
23,100,2,16-Jan-14,15-Feb-14,160
24,101,3,18-Nov-13,2-Jan-14,160
25,101,3,1-Feb-14,3-Mar-14,160
26,102,8,19-Nov-13,3-Jan-14,160
27,102,8,2-Feb-14,4-Mar-14,160
28,103,10,20-Nov-13,4-Jan-14,160
29,103,10,3-Feb-14,5-Mar-14,160
30,104,14,21-Nov-13,5-Jan-14,160
31,104,14,4-Feb-14,6-Mar-14,160
32,105,18,22-Nov-13,6-Jan-14,160
33,105,18,5-Feb-14,7-Mar-14,160
34,106,19,23-Nov-13,7-Jan-14,160
35,106,19,6-Feb-14,8-Mar-14,160
36,107,20,24-Nov-13,8-Jan-14,160
37,107,20,7-Feb-14,9-Mar-14,160
38,108,22,25-Nov-13,9-Jan-14,160
39,108,22,8-Feb-14,10-Mar-14,160
40,109,23,16-Nov-13,31-Dec-13,160
